bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
2,2,0,Semifurnished,All,"Bella Casa Baner, Baner, , Pune, Maharashtra",1,No Direction,Not provided,No,No,1,None,None,0,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,0,0,18500
2,2,1050,Semifurnished,All,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",2,West,Not provided,Yes,Yes,1,Yes,Yes,24,1,0,1,0 to 1 Year Old,1,0,0,0,0,0,0,0,63000,0,21000
2,2,900,Semifurnished,All,"Simplicity Apartments, Handewadi, , Pune, Maharashtra",6,No Direction,Not provided,Yes,No,1,None,None,0,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0,12000
3,3,1100,Furnished,Family Only,"GK Dwarka Queens Park, Rahatani, , Pune, Maharashtra",1,East,Others,Yes,No,1,Yes,Yes,1,1,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,24000,3,0,24000
1,1,605,Semifurnished,Family Only,"Anandtara Sayajiraje Avenue, Sasane Colony, , Pune, Maharashtra",4,East,Vitrified,Yes,Yes,1,Yes,Yes,36,1,0,1,5 to 10 Year Old,0,0,0,1,0,0,0,0,3,0,13500
1,1,0,Unfurnished,All,"New Sanghvi, , Pune, Maharashtra",1,No Direction,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,20000,0,10000
2,1,800,Unfurnished,"Family , Bachelors (Men Only)","Swamy samarth apartment, Ganesh Peth, , Pune, Maharashtra",1,South,Not provided,No,No,0,None,None,0,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,0,0,17000
1,1,0,Unfurnished,None,"maha laxmi apartment, Wagholi, , Pune, Maharashtra",5,South-East,Marble,No,No,1,None,None,0,0,1,2,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0,7000
1,1,0,Furnished,Family Only,"Ram India livogue, Malwadi, , Pune, Maharashtra",9,No Direction,Not provided,Yes,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0,20000
1,1,590,Unfurnished,All,"Urban Bliss, Lohegaon, , Pune, Maharashtra",3,North,Others,Yes,No,1,None,Yes,11,1,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0,11000
2,2,1055,Semifurnished,"Family , Bachelors (Women Only)","Magarpatta Cosmos Apartment, Hadapsar, , Pune, Maharashtra",9,East,Vitrified,Yes,Yes,1,None,None,11,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,50000,0,19000
1,2,780,Semifurnished,All,"SKYi First, Bhugaon, , Pune, Maharashtra",3,East,Others,Yes,No,1,Yes,Yes,11,0,1,2,0 to 1 Year Old,0,1,1,1,1,0,0,0,0,0,8000
1,1,0,Unfurnished,Family Only,"Chikhali, , Pune, Maharashtra",0,North,Vitrified,No,No,1,None,None,0,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0,8000
2,2,899,Unfurnished,Family Only,"Ganga Ashiyana, Thergaon, , Pune, Maharashtra",5,No Direction,Not provided,Yes,No,1,None,None,12,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,30000,0,16000
2,2,0,Furnished,All,"Karia Konark Campus, Viman Nagar, , Pune, Maharashtra",5,North,Vitrified,Yes,Yes,1,Yes,None,11,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,150000,0,34000
1,1,645,Semifurnished,Family Only,"santkrupa classic, Kashid Nagar, , Pune, Maharashtra",4,No Direction,Not provided,Yes,No,0,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,50000,0,16000
4,4,0,Unfurnished,Family Only,"Narhe, , Pune, Maharashtra",0,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,200000,0,40000
2,2,1000,Unfurnished,Family Only,"Little Earth Masulkar City, Ravet, , Pune, Maharashtra",5,No Direction,Not provided,Yes,No,0,None,None,11,1,0,0,0 to 1 Year Old,1,0,0,0,0,0,Maintenance 600/ (/ month,0,2,600,13500
3,3,1250,Unfurnished,All,"Nyati Elysia, Kharadi, , Pune, Maharashtra",2,East,Others,Yes,No,1,Yes,None,11,1,0,1,0 to 1 Year Old,0,0,0,1,0,0,0,28000,3,0,28000
2,2,1190,Unfurnished,All,"Magarpatta City Jasminium, Magarpatta, , Pune, Maharashtra",5,East,Vitrified,Yes,No,1,None,None,11,1,0,2,5 to 10 Year Old,0,0,1,1,0,0,0,18000,50000,0,18000
1,2,550,Semifurnished,Family Only,"GK Roseland Residency, Pimple Saudagar, , Pune, Maharashtra",7,East,Ceramic,Yes,Yes,0,Yes,None,11,1,0,1,5 to 10 Year Old,0,0,0,0,1,0,0,14000,40000,0,15000
2,2,1000,Semifurnished,Family Only,"Aditya Garden, Warje, , Pune, Maharashtra",4,West,Vitrified,Yes,No,1,None,None,0,0,0,2,5 to 10 Year Old,0,1,0,0,0,0,Maintenance 900/ (/ month,30000,3,900,19000
2,2,0,Furnished,"Family , Bachelors (Women Only)","Nyati Serenity Enclave, Mohamadwadi, , Pune, Maharashtra",0,No Direction,Not provided,Yes,No,1,Yes,Yes,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,27000,60000,0,27000
